!OP,K0EMT,,,,,
!PARK,5706,,,,,
!DATE,20200612,,,,,
!BAND,20M,,,,,
!MODE,SSB,,,,,
1954,k4nym,44,55,,Park to Park,K-6316
2016,k4swl,54,52,,Park to Park,K-3378
2032,n2pyh,44,53,,Park to Park,K-2052
!BAND,40M,7245,,,,
2040,w8smn,55,55,OH,,
2042,w3glh,55,55,PA,,
2043,kb9jmu,55,44,IN,,
2045,k8rat,22,,,,
2046,AE0U,59,57,MN,,
2047,KD8SGQ,55,54,MI,,
2048,K4CAE,59,44,SC,,
!BAND,17M,,,,,
2058,KN4SWS,44,55,,Park to Park,K-6301
!BAND,40M,7203,,,,
2109,K7EEX,53,22,,SOTA W4T/RV-001
