!OP,K0EMT
!PARK,1439
!DATE,20180723
!MODE,SSB
!BAND,40M
1926,W8TAM,52,51,,P2P and NAIOTA WI-006L,1553
1927,K8VOX,52,59,,P2P and NAIOTA WI-006L,1553
