V2,K0EMT,W9/IL-002,2019/04/26,1955,14.060,CW,K0RS,,
V2,K0EMT,W9/IL-002,2019/04/26,1958,14.060,CW,NG6R,,
V2,K0EMT,W9/IL-002,2019/04/26,2016,10.116,CW,K3TCU,,
V2,K0EMT,W9/IL-002,2019/04/26,2018,10.116,CW,N3EJ,,
V2,K0EMT,W9/IL-002,2019/04/26,2022,10.116,CW,W5ODS,,
V2,K0EMT,W9/IL-002,2019/04/26,2029,7.042,CW,W0MNA,,
V2,K0EMT,W9/IL-002,2019/04/26,2030,7.042,CW,W0ERI,,
V2,K0EMT,W9/IL-002,2019/04/26,2030,7.042,CW,KG3W,,
V2,K0EMT,W9/IL-002,2019/04/26,2033,7.042,CW,K5KJ,,
V2,K0EMT,W9/IL-002,2019/04/26,2035,7.042,CW,KI5WA,,
V2,K0EMT,W9/IL-002,2019/04/26,2038,7.042,CW,WN4AT,,
V2,K0EMT,W9/IL-002,2019/04/26,2039,7.042,CW,N0EVH,,
V2,K0EMT,W9/IL-002,2019/04/26,2041,7.042,CW,WG0AT,,
V2,K0EMT,W9/IL-002,2019/04/26,2044,7.042,CW,WF4I,,
V2,K0EMT,W9/IL-002,2019/04/26,2107,7.031,CW,KW4JM,W4C/CM-117,S2S MTR3B-LCD EFHW
